data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6957044,152,CHI2368,2368,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),Civilians (Chile); Labour Group (Chile); Government of Chile (2018-),1,15,South America,Chile,Metropolitana,Santiago,La Cisterna,La Cisterna,-33.5309,-70.6664,1,La Tercera (Chile),National,"On 26 November 2019, in La Cisterna, Metropolitan region, small groups of demonstrators built barricades across Route 5. A group of rioters destroyed a metro station while others looted stores in the area. The event happened during several weeks of a political and social crisis in the country. Police Forces of Chile dispersed the group and reported 25 people arrested. [size=at least 25]",0,1582840323,CHL
7066357,152,CHI2358,2358,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),Labour Group (Chile); MUS: Social Unit Movement,5,Police Forces of Chile (2018-),Civilians (Chile); Labour Group (Chile); Government of Chile (2018-),1,15,South America,Chile,Biobio,Concepcion,Coronel,Coronel,-37.0343,-73.1383,1,Biobio Chile,Subnational,"On 26 November 2019, in Coronel, Biobio region, more than 1,200 citizens and workers demonstrated over a general discontent with the government. The demonstration was organized by the MUS. The group demands improvements in education, healthcare and pension policies, among other things. Police Forces of Chile clashed against groups of rioters that built barricades and destroyed municipal buildings and private businesses. [size=more than 1,200]",0,1587491658,CHL
7066358,152,CHI2359,2359,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Biobio,Arauco,Curanilahue,Curanilahue,-37.4762,-73.3412,2,Biobio Chile,Subnational,"On 26 November 2019, near Curanilahue, Biobio region, people demonstrated over general discontent with the government. The group demands reforms in education, healthcare and pension policies, among other things. Protesters blocked the route 160 near the district for several hours [size=no report]",0,1587491658,CHL
7066871,152,CHI2367,2367,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),Labour Group (Chile); ANEF: National Association of Tax Employees; CUT: The Workers' United Center of Chile,6,,,0,60,South America,Chile,Tarapaca,Iquique,Iquique,Iquique,-20.2133,-70.1503,1,Estrella Iquique,Subnational,"On 26 November 2019, in Iquique, Tarapaca region, nearly 10,000 citizens and workers members of ANEF and the CUT protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=nearly 10,000]",0,1587491662,CHL
7066361,152,CHI2396,2396,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,,,0,50,South America,Chile,Biobio,Concepcion,Santa Juana,Santa Juana,-37.1747,-72.9463,1,Biobio Chile,Subnational,"On 26 November 2019, in Santa Juana, Biobio region, people demonstrated over general discontent with the government. Rioters built barricades on the main entrance of the district. The group demands reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1587491658,CHL
6957054,152,CHI2379,2379,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,,,0,50,South America,Chile,Valparaiso,Quillota,Quillota,Nogales,-32.7331,-71.2041,2,La Tercera (Chile),National,"On 26 November 2019, in the rural area of Nogales, Valparaiso region, people demonstrated over general discontent with the government. Rioters built and set on fire barricades in the community El Melon. The group demands reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1582840323,CHL
6939410,152,CHI2334,2334,2019-11-25,2019,1,Violence against civilians,Attack,Police Forces of Chile (2018-),,1,Civilians (Chile),Journalists (Chile),7,17,South America,Chile,Metropolitana,Santiago,Santiago Centro,Santiago,-33.4569,-70.6483,1,El Mercurio (Chile),National,"On 25 November 2019, in Santiago, Metropolitan region, a group of between 6 to 10 police officers attacked a journalist. The victim claimed he was ambushed while walking alone and beaten by the state officers. The attack was registered by the go-pro camera carried by the victim.",0,1582839946,CHL
6931486,152,CHI2318,2318,2019-11-25,2019,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),6,,,0,60,South America,Chile,Metropolitana,Santiago,La Cisterna,La Cisterna,-33.5309,-70.6664,1,Biobio Chile,National,"On 25 November 2019, in La Cisterna, Metropolitan region, a group of students protested over general discontent with the government. The group jumped turnstiles in the metro stations La Cisterna and El Parron, blocking the service for several hours. [size=no report]",0,1582839795,CHL
6931751,152,CHI2333,2333,2019-11-25,2019,1,Protests,Peaceful protest,Protesters (Chile),Students (Chile),6,,,0,60,South America,Chile,Metropolitana,Santiago,San Miguel,San Miguel,-33.4917,-70.6571,1,Biobio Chile,National,"On 25 November 2019, in San Miguel, Metropolitan region, a group of students protested over general discontent with the government. The group jumped turnstiles in the metro stations San Miguel and El Llano, blocking the service for several hours. [size=no report]",0,1582839796,CHL
6939457,152,CHI2324,2324,2019-11-25,2019,1,Riots,Violent demonstration,Rioters (Chile),Women (Chile),5,Civilians (Chile),,7,57,South America,Chile,Metropolitana,Santiago,Providencia,Providencia,-33.4311,-70.6045,1,El Mercurio (Chile),National,"On 25 November 2019, in Providencia, Metropolitan region, thousands of people and members of women's organizations and feminist collectives demonstrated against gender violence in the country. There were reports of violence but no specific episode was mentioned. [size=thousands]",0,1582839946,CHL
7066445,152,CHI2338,2338,2019-11-25,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Biobio,Concepcion,Tome,Tome,-36.6175,-72.9559,1,Biobio Chile,Subnational,"On 25 November 2019, in Tome Biobio region, citizens demonstrated over general discontent with the government. There were reports of violence but no specific episode was mentioned. Police Forces of Chile reported 3 people arrested. [size=at least 3]",0,1587491659,CHL
